horizon,pml_mean,pml_std,no_pml_mean,no_pml_std
20,0.20251538,0.08003211,0.3381799,0.16739884
30,0.23908015,0.09074451,0.3619399,0.13184242
40,0.23514134,0.10939722,0.4113968,0.13436823
50,0.22002172,0.048007242,0.5045339,0.13153142
60,0.24197286,0.09407358,0.970431,2.3444111
70,0.24423909,0.071726024,0.93588257,1.4013698
80,0.24952838,0.04761525,0.8047881,0.29408142
90,0.25503698,0.07864471,1.4701452,2.1725674
100,0.23473069,0.04725779,1.26128,0.6350049
110,0.23099405,0.050654147,1.436045,0.9723946
120,0.2568187,0.09233885,2.56038,2.1856856
130,0.23971947,0.05450121,2.116155,1.5062251
140,0.25680837,0.088767834,2.8394442,2.572389
150,0.2429564,0.07121597,2.9845014,2.793957
160,0.35282028,0.2691943,4.6077437,4.512926
170,0.33051255,0.2188468,5.1937985,5.1853952
180,0.3898877,0.23804498,6.634713,6.2222886
190,0.4181354,0.17957395,5.7034454,4.985876
200,0.6422672,0.12681732,13.529545,1.4776511
